INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-09-02T04:00:00-00:00,2021-09-02T05:00:00-00:00,1,2021-09-01,22,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,154.98,DAM,5
2021-09-01T11:00:00-00:00,2021-09-01T12:00:00-00:00,1,2021-09-01,5,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,101.81,DAM,5
2021-09-01T12:00:00-00:00,2021-09-01T13:00:00-00:00,1,2021-09-01,6,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,106.72,DAM,5
2021-09-01T15:00:00-00:00,2021-09-01T16:00:00-00:00,1,2021-09-01,9,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,126.44,DAM,5
2021-09-01T22:00:00-00:00,2021-09-01T23:00:00-00:00,1,2021-09-01,16,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,187.41,DAM,5
2021-09-01T13:00:00-00:00,2021-09-01T14:00:00-00:00,1,2021-09-01,7,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,115.01,DAM,5
2021-09-02T01:00:00-00:00,2021-09-02T02:00:00-00:00,1,2021-09-01,19,0,DAM,BANCRSVL,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,192.5,DAM,5
2021-09-01T19:00:00-00:00,2021-09-01T20:00:00-00:00,1,2021-09-01,13,0,DAM,BANCSMUD,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1251.84,DAM,6
2021-09-01T13:00:00-00:00,2021-09-01T14:00:00-00:00,1,2021-09-01,7,0,DAM,BANCSMUD,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1068.93,DAM,6
2021-09-02T02:00:00-00:00,2021-09-02T03:00:00-00:00,1,2021-09-01,20,0,DAM,BANCSMUD,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1437.51,DAM,6
